"shortcode","taxon","original_taxon","SIGNAL2","SIGNALWoV2001","SIGNALWoV2003","SIGNALWestPt2003","SIGNALYarra2003","Rheophily.index","Comment"
"QD18","Sciaridae","Sciaridae",6,NA,NA,NA,NA,NA,""
"QD45","Sciomyzidae","Sciomyzidae",2,3,3,3,NA,NA,""
"QC20","Scirtidae","Scirtidae",6,8,8,8,8,3.4,""
"QM02","Sialidae","Sialidae",5,4,4,4,4,NA,""
"QD10","Simuliidae","Simuliidae",5,5,5,5,5,7.4,""
"QE01","Nesameletidae","Siphlonuridae",10,NA,NA,NA,NA,NA,""
"QN05","Sisyridae","Sisyridae",3,NA,NA,NA,NA,NA,""
"KP03","Pisidiidae","Sphaeriidae",5,6,6,6,6,4.33,""
"OR13","Sphaeromatidae","Sphaeromatidae",1,4,4,4,NA,NA,""
"LP03","Spionidae","Spionidae",NA,NA,5,NA,NA,NA,""
"IA01","Spongillidae","Spongillidae",NA,NA,5,NA,NA,NA,""
"QC18","Staphylinidae","Staphylinidae",3,5,5,5,5,NA,""
"QD24","Stratiomyidae","Stratiomyidae",2,2,2,2,2,1.8,""
"QO08","Synlestidae","Synlestidae",7,7,7,7,7,3.67,""
"QO23","Synthemistidae","Synthemistidae",2,7,7,7,7,4.67,""
"QD43","Syrphidae","Syrphidae",NA,NA,NA,NA,NA,NA,""
"QD23","Tabanidae","Tabanidae",3,5,5,5,5,NA,""
"OP01","Talitridae","Talitridae",3,7,7,7,NA,NA,""
"QD03","Tanyderidae","Tanyderidae",6,NA,NA,NA,NA,NA,""
"QDAE","Tanypodinae","Tanypodinae",4,8,8,8,NA,4.2,""
"QT13","Tasimiidae","Tasimiidae",8,7,7,7,7,6.4,""
"QO21","Telephlebiidae","Telephlebiidae",9,NA,NA,NA,NA,5.75,""
"QE07","Vietnamellidae","Teloganodidae",9,NA,NA,NA,NA,NA,""
"IF41","Temnocephalidae","Temnocephalidea",5,NA,NA,NA,NA,NA,""
"IH01","Tetrastemmatidae","Tetrastemmatidae",NA,NA,5,NA,NA,NA,""
"QD11","Thaumaleidae","Thaumaleidae",7,7,7,7,7,NA,""
"KG04","Thiaridae","Thiaridae",4,7,7,7,7,NA,""
"QD01","Tipulidae","Tipulidae",5,5,5,5,5,4.6,""
"OE01","Triopsidae","Triopsidae",1,NA,NA,NA,NA,NA,""
"LO04","Tubificidae","Tubificidae",NA,1,NA,NA,NA,NA,""
"QO31","Urothemistidae","Urothemistidae",1,NA,NA,NA,NA,NA,""
"QH56","Veliidae","Veliidae",3,4,4,4,4,2.6,""
"KG01","Viviparidae","Viviparidae",1,NA,NA,NA,NA,NA,""
